property;value;
neck;0.0792373;
shoulderHalfRight;0.195777;
upperarmRight;0.257112;
forearmRight;0.236366;
shoulder;0.342827;
upperBody;0.246726;
hip;0.152473;
lowerBody;0.343965;
body;0.590653;
lowerLegLeft;0.280785;
upperLegLeft;0.420537;
upperLegRight;0.386215;
lowerLegRight;0.364279;
forearmLeft;0.254923;
upperarmLeft;0.249761;
shoulderHalfLeft;0.173724;
neck;0.0792516;
shoulderHalfRight;0.19568;
upperarmRight;0.272844;
forearmRight;0.220526;
shoulder;0.342559;
upperBody;0.246795;
hip;0.152375;
lowerBody;0.344047;
body;0.590804;
lowerLegLeft;0.280754;
upperLegLeft;0.420194;
upperLegRight;0.386075;
lowerLegRight;0.364234;
forearmLeft;0.256878;
upperarmLeft;0.24925;
shoulderHalfLeft;0.173601;
neck;0.0792601;
shoulderHalfRight;0.195651;
upperarmRight;0.275044;
forearmRight;0.21842;
shoulder;0.342403;
upperBody;0.24682;
hip;0.152437;
lowerBody;0.344044;
body;0.590825;
lowerLegLeft;0.280833;
upperLegLeft;0.420158;
upperLegRight;0.38591;
lowerLegRight;0.364474;
forearmLeft;0.256138;
upperarmLeft;0.248817;
shoulderHalfLeft;0.173693;
neck;0.0792716;
shoulderHalfRight;0.195508;
upperarmRight;0.27721;
forearmRight;0.215851;
shoulder;0.342354;
upperBody;0.246856;
hip;0.152457;
lowerBody;0.344054;
body;0.590872;
lowerLegLeft;0.28059;
upperLegLeft;0.420523;
upperLegRight;0.385847;
lowerLegRight;0.364677;
forearmLeft;0.257063;
upperarmLeft;0.248685;
shoulderHalfLeft;0.173569;
neck;0.0792763;
shoulderHalfRight;0.195377;
upperarmRight;0.278147;
forearmRight;0.21369;
shoulder;0.342078;
upperBody;0.24687;
hip;0.152461;
lowerBody;0.344039;
body;0.590871;
lowerLegLeft;0.280739;
upperLegLeft;0.420308;
upperLegRight;0.385745;
lowerLegRight;0.364711;
forearmLeft;0.257752;
upperarmLeft;0.248245;
shoulderHalfLeft;0.17359;
neck;0.0792787;
shoulderHalfRight;0.195371;
upperarmRight;0.256938;
forearmRight;0.235386;
shoulder;0.342126;
upperBody;0.24688;
hip;0.152479;
lowerBody;0.344021;
body;0.590862;
lowerLegLeft;0.280253;
upperLegLeft;0.420731;
upperLegRight;0.38567;
lowerLegRight;0.364785;
forearmLeft;0.255152;
upperarmLeft;0.248139;
shoulderHalfLeft;0.173705;
neck;0.0792783;
shoulderHalfRight;0.195334;
upperarmRight;0.253906;
forearmRight;0.238157;
shoulder;0.342179;
upperBody;0.24688;
hip;0.152478;
lowerBody;0.344004;
body;0.590846;
lowerLegLeft;0.280383;
upperLegLeft;0.420547;
upperLegRight;0.385635;
lowerLegRight;0.364831;
forearmLeft;0.256777;
upperarmLeft;0.248046;
shoulderHalfLeft;0.173638;
neck;0.0792883;
shoulderHalfRight;0.195464;
upperarmRight;0.25272;
forearmRight;0.239175;
shoulder;0.342256;
upperBody;0.246906;
hip;0.152455;
lowerBody;0.344002;
body;0.59087;
lowerLegLeft;0.280489;
upperLegLeft;0.420439;
upperLegRight;0.385487;
lowerLegRight;0.365054;
forearmLeft;0.257287;
upperarmLeft;0.2481;
shoulderHalfLeft;0.17357;
neck;0.079278;
shoulderHalfRight;0.195423;
upperarmRight;0.271535;
forearmRight;0.218542;
shoulder;0.342209;
upperBody;0.246882;
hip;0.152448;
lowerBody;0.343974;
body;0.590818;
lowerLegLeft;0.280645;
upperLegLeft;0.420364;
upperLegRight;0.385415;
lowerLegRight;0.365155;
forearmLeft;0.258232;
upperarmLeft;0.247729;
shoulderHalfLeft;0.173769;
neck;0.0792679;
shoulderHalfRight;0.195018;
upperarmRight;0.254584;
forearmRight;0.236606;
shoulder;0.342157;
upperBody;0.246861;
hip;0.152511;
lowerBody;0.343885;
body;0.590707;
lowerLegLeft;0.281273;
upperLegLeft;0.420002;
